text	stwr
» Bist wohl verrückt geworden, alter Hund?	DS
Wo hast du deine Augen ?! «	DS
» Fahr zu... « sagt der Fahrgast.	DS
» So kommen wir bis morgen nicht hin.	DS
Gib mal dem Pferd die Peitsche! «	DS
Der Kutscher reckt wieder den Hals, erhebt sich vom Bock und schwingt mit schwerfälliger Grazie die Peitsche.	NN
Dann sieht er sich einigemal nach dem Fahrgast um, aber jener hält die Augen geschlossen und scheint gar nicht geneigt, ihm zuzuhören.	NN
Nachdem er den Fahrgast in die Wyborgsche Straße gebracht hat, bleibt er vor einem Wirtshause stehen, krümmt sich zusammen und erstarrt auf seinem Bock...	NN
Nasser Schnee färbt wieder ihn und sein Pferdchen weiß.	NN
So vergeht eine Stunde und noch eine Stunde...	NN
Auf dem Bürgersteige gehen, fluchend und laut mit den Galoschen klopfend, drei junge Leute; zwei von ihnen sind groß und schlank, der Dritte klein und bucklig.	RP
» Kutscher, zur Polizeibrücke! « schreit mit zittriger Stimme der Bucklige.	DS
» Zwanzig Kopeken für uns drei! «	DS
Jona zupft an den Zügeln und schmatzt mit den Lippen.	NN
Zwanzig Kopeken sind zwar viel zu wenig, aber er denkt jetzt nicht an Geld...	RP
Ihm ist es ganz gleich, ob er einen Rubel oder fünf Kopeken bekommt, wenn er nur Fahrgäste hat.	NN
Die jungen Leute treten, einander stoßend und unflätig schimpfend, vor den Schlitten und wollen sich alle drei auf einmal hineinsetzen.	RP
Nun ist dieFrage, wer von den Dreien stehen soll.	IS
Nach langem Schimpfen und Streiten kommen sie zur Entscheidung, daß der Bucklige stehen muß, da er der kleinste ist.	reported;indirect
» Nun, fahr zu! « gellt der Bucklige, sich hinter Jona stellend und ihm in den Nacken atmend.	DS
» Hau zu!	DS
Was du doch für eine Mütze hast, Bruder!	DS
Eine ärgere gibt es wohl in ganz Petersburg nicht... «	DS
» Hihi, hi! « lacht Jona.	DS
» Es ist halt so eine! «	DS
» Du, es ist halt soeine, fahr zu!	DS
Wirst du den ganzen Weg so fahren?	DS
Ja?	DS
Und wenn ich dir eine herunterhaue?	DS
... «	DS
» Der Kopf will mir zerspringen... « sagt einer von den beiden Langen.	DS
» Gestern bei den Dukmassows habe ich mit Waßjka zu zweit vier Flaschen Kognak ausgetrunken. «	DS
» Ich begreife nicht, wozu du lügst! « regt sich der andere Lange auf.	DS
» Er lügt wie ein Vieh. «	DS
» Gott strafe mich, es ist wahr... «	DS
» Es ist ebenso wahr, wie daß die Laus hustet. «	DS
» Hi, hi! « grinst Jona.	DS
» Das sind mir lustige Herren! «	DS
» Daß dich der Teufel!	DS
... « empört sich der Bucklige.	DS
» Wirst du einmal fahren, du alte Cholera, oder nicht?	DS
Ist das ein Fahren?	DS
Gib doch mal deinem Gaul die Peitsche!	DS
Ordentlich! «	DS
Jona fühlt hinter seinem Rücken den zappelnden Körper und die zittrige Stimme des Buckligen.	NN
Er hört die an ihn gerichteten Schimpfworte, sieht die Menschen, und das Gefühl der Einsamkeit wird weniger drückend.	RP
Der Bucklige flucht, bis ihm ein besonders kompliziertes, sechsstöckiges Schimpfwort im Halse stecken bleibt und er einen Hustenanfall bekommt.	RP
Die beiden Langen beginnen über irgendeine Nadeschda Petrowna zu sprechen.	RP
Jona sieht sich nach ihnen um.	NN
Er wartet eine kurze Pause ab, sieht sich noch einmal um und stammelt:	NN
» Mir ist aber in der vergangenen Woche... was wollt ich noch sagen?	DS
... mein Sohn gestorben! «	DS
» Wir alle werden sterben... « bemerkt der Bucklige seufzend und wischt sich nach dem Hustenanfall den Mund ab.	DS
