text	stwr
Solch ein Glück war es, welches Napoleon vom Leutnant zum Kaiser machte, inmitten vieler tausende von andern ehrgeizigen Männern.	NN
Solch ein Glück ist auch das, durch welches Bismarck alle schlauen und berechnenden Diplomaten in Schrecken setzt und an der Nase führt.	NN
Aber noch eine andre Eigenschaft kommt hinzu: die Festigkeit des Charakters.	NN
Sie überlegen nicht, ob sie die von ihnen klar erkannten Umstände benutzen sollen, sondern sie benutzen sie mit derselben unfehlbaren Sicherheit, mit welcher die Magnetnadel sich immer nach Norden dreht.	IS
Es ist daher für den objektiven Beobachter, das heißt, für jemand, der keiner Partei angehört, ein höchst ergötzliches und zugleich erhabenes Schauspiel, Bismarcks Politik, seinen Kampf mit äußern und innern Feinden zu betrachten.	NN
Es ist ein noch schönerer Anblick, als ihn die Dramen Shakespeares gewähren können, denn diese haben nur einen Menschen, jenes die Gottheit selber zum Verfasser, und unser Held steht noch viel folgerichtiger, natürlicher und anschaulicher unter den Personen zweiten Ranges, als die Helden im Drama der Bühne.	NN
Die auf das Leben, auf das Wirken gerichteten Eigenschaften beherrschen das Dasein des Helden der That durchaus und machen ihn in der Hauptsache zum eigentlichen Gegensatz des Gedankenhelden.	NN
Als ein Beispiel hierfür möchte ich die Anekdote von dem Freiherrn vom Stein anführen, welche Busch S. 427 des zweiten Bandes erzählt.	RP
Dieser große Staatsmann ließ sich durch vieles Necken und Scherzen dahin bringen, Goethes Faust zu lesen.	NN
Er erhielt das Buch am Vormittage um zehn Uhr, sandte es nachmittags um vier Uhr gelesen zurück und verlangte den zweiten Teil, machte am Abend Konversation darüber und erklärte, der Faust sei ein unanständiges Buch, von dem man in guter Gesellschaft nicht reden dürfte.	reported;indirect
Dem Reichskanzler, der übrigens mit dem Herrn vom Stein etwa so zu vergleichen ist wie der Löwe mit einer Katze, ist die beständige Thätigkeit ebenso notwendig, wie dem Denker die Ruhe ist.	NN
Hat der Sturm nachgelassen, ist das augenblickliche Ziel erreicht, kommt eine Zeit, wie sie dem Philosophen erwünscht und wahrhaft beseligend sein würde, so wird der Reichskanzler vor Unmut und Langeweile krank.	NN
Die in ihm thätigen Kräfte finden keinen würdigen Gegenstand mehr, das Gezänk mit den Kleinen in den Kammern ekelt ihn an, er fängt an nachzudenken, und die nun notwendige Vermutung, daß der Gewinn das Spiel nicht wert sei, macht ihn so mißmutig, daß auch der Körper darunter leidet.	reported;indirect
Er selber denkt, daß sein Leiden von Überarbeitung herrühre, und gewiß hat diese ihr Teil dazu beigetragen, aber ich möchte in aller Bescheidenheit die Vermutung aussprechen, daß ein plötzlich ausgeführter Überfall von seiten Frankreichs und Rußlands — den Gott in Gnaden verhüten möge —, daß wichtige ministerielle Beratungen, die Eile der Botschafter, der Sturm der Depeschen, das Wiehern der Schlachtrosse, der Dampf der von Kolonnen durchpflügten Erde und das Brüllen der Kanonen die Nerven des Helden schneller kuriren würden, als alle Vertreter aller Zweige der medizinischen Wissenschaft mit dem Inhalt aller Apotheken.	IS
Es ist aber das Loos aller Helden der That, die nicht etwa früh schon vom Schicksal zu Boden geworfen werden und auf dem Schlachtfelde oder durch Meuchelmord fallen, daß ihnen das Leben und die Welt immer trüber und wirrer erscheinen, je älter sie werden.	NN
