text	stwr
Die Schwachen lässt man doch zurück.	DS
Sonst kommt kaum einer lebend an “, sagte der Ladendiener, der augenscheinlich mit seiner Kenntnis dessen prahlte, was in der Ordnung war.	reported;direct
Der Polizist richtete sich, nachdem er die Hemdenschnüre aufgelöst, in die Höhe und schaute um sich.	NN
„ Geht auseinander, sage ich.	DS
Ist doch nicht eure Sache!	DS
Was steht ihr da zusammen? “ sagte er und wandte sich, Beifall suchend, an Nechljudow, und da er in seinen Augen keinem Beifall begegnete, schaute er den Escortesoldaten an.	DS
Aber der Escortesoldat stand auf der Seite, betrachtete seinen abgelaufenen Absatz und war ganz gleichgiltig gegen die Verlegenheit des Polizisten.	NN
„ Die es angeht, die kümmern sich nicht darum, Ist denn das in der Ordnung, die Menschen zutode zu quälen? “	DS
„ Sträfling ist Sträfling, aber doch immer ein Mensch! “ hieß es in der Menge.	DS
„ Legt ihm den Kopf höher und gebt ihm Wasser “, sagte Nechljudow.	DS
„ Sind schon nach Wasser gegangen “, antwortete der Polizist, fasste den Sträfling unter der Achsel und zog den Rumpf mit Mühe etwas höher.	DS
„ Was ist da für ein Auflauf? “ ertönte plötzlich eine bestimmte Befehlshaberstimme, und zu dem Menschenhaufen um den Arrestanten trat mit schnellen Schritten ein Revieraufseher in ungewöhn lich sauberem und glänzendem Kittel und noch glänzenderen hohen Stiefeln.	DS
„ Auseinander gehen!	DS
Hier ist nichts zu stehen! “ schrie er den Haufen an, da er noch nicht sah, warum die Menge zusammengelaufen war.	DS
Als er aber dicht herantrat und den sterbenden Arrestanten erblickte, machte er mit dem Kopf ein Zeichen der Bestätigung, als ob er eben dasselbe erwartet hätte und wandte sich an den Polizisten.	NN
„ Wie ist das gekommen? “	DS
Der Polizist erzählte, dass der Zug marschiert sei und der Sträfling umgefallen wäre; der Escorteossicier hätte dann befohlen, ihn zurückzulassen.	IS
„ Also was?	DS
Muss aufs Revierbureau.	DS
Droschke! “	DS
„ Ein Hausknecht ist hingelaufen “, sagte der Polizist und legte die Hand an den Mützenschirm.	DS
Der Landendiener begann etwas von der Hitze zu reden...	RP
„ Ist das Deine Sache?	DS
Ah?	DS
Geh deiner Wege “, sagte der Revieraufseher und sah ihn so strenge an, dass der Ladendiener verstummte.	reported;direct
„ Man muss ihm Wasser zu trinken geben “, sagte Nechljudow.	DS
Der Nevieraufseher sah auch Nechljudow strenge an, sagte aber nichts.	RP
Als aber der Hausknecht in einem Kruge Wasser brachte, befahl er dem Polizisten, es dem Sträfling anzubieten.	IS
Der Polizist hob den herabgesunkenen Kopf in die Höhe und versuchte, das Wasser in den Mund zu gießeu, aber der Sträfling nahm es nicht; das Wasser floß heraus über den Bart, benässte die Jacke auf der Brust und das staubige Hemd aus Hanfleinwand.	NN
„ Gieß es über den Kopf! “ commandierte der Revieraufseher, und der Polizist nahm die Pfannkuchenmütze ab und goß das Wasser über die röthlichen krausen Haare und den bloßen Schädel.	DS
Die Augen des Sträflings öffneten sich weiter, gleichsam in Schreck, aber seine Lage änderte sich nicht.	NN
Ueber sein Gesicht flossen Schmutzbäche von Staub, aber der Mund schluchzte ebenso gleichmäßig und der ganze Körper zitterte.	NN
„ Wer ist denn das?	DS
Nimm den! “ wandte sich der Revieraufseher an den Polizisten und deutete auf Nechljudows Droschkenkutscher.	DS
„ Komm her!	DS
He, Du! “	DS
„ Vesetzt “, sagte der Kutscher finster, ohne die Augen aufzuheben.	DS
